Year ,Neighborhood,Mortgage Affordability,Small Business Investment
2017,The Waverlies,32.68641471,6334891.411
2017,Upton/Druid Heights,21.9600726,159090.9091
2017,Washington Village/Pigtown,38.2746051,2155083.559
2017,Westport/Mount Winans/Lakeland,45.44179523,2641060.651
2018,Allendale/Irvington/S. Hilton,47.19438878,465641
2018,Beechfield/Ten Hills/West Hills,33.53048226,415546
2018,Belair-Edison,42.31458259,891509
2018,Brooklyn/Curtis Bay/Hawkins Point,28.08798646,17094610
2018,Canton,17.42344245,20209194
2018,Cedonia/Frankford,39.97260274,486306
2018,Cherry Hill,23.33333333,893033
2018,Chinquapin Park/Belvedere,30.63707946,843802
2018,Claremont/Armistead,46.37904468,2580000
2018,Clifton-Berea,48.99713467,475391
2018,Cross-Country/Cheswolde,40.96551724,2691503
2018,Dickeyville/Franklintown,20.16129032,92453
2018,Dorchester/Ashburton,44.20731707,232566
2018,Downtown/Seton Hill,47.30538922,1406543
2018,Edmondson Village,34.08884859,589815
2018,Fells Point,20.77997672,3787813
2018,Forest Park/Walbrook,31.58319871,400403
2018,Glen-Fallstaff,36.43083421,790185
2018,Greater Charles Village/Barclay,29.74068071,903061
2018,Greater Govans,41.16915423,250943
2018,Greater Mondawmin,41.53318078,1030519
2018,Greater Roland Park/Poplar Hill,26.26395272,1696724
2018,Greater Rosemont,47.85407725,518388
2018,Greenmount East,53.4591195,346759
2018,Hamilton,30.62808751,380328
2018,Harbor East/Little Italy,44.20485175,5960000
2018,Harford/Echodale,31.77570093,479681
2018,Highlandtown,20.45616536,1193393
2018,Howard Park/West Arlington,45.26748971,347074
2018,Inner Harbor/Federal Hill,20.57074911,1914962
2018,Lauraville,28.35190165,928415
2018,Loch Raven,36.88833124,264865
2018,Madison/East End,35.34883721,579310
2018,Medfield/Hampden/Woodberry/Remington,25.12970169,1863532
2018,Midtown,18.17472699,1344167
2018,Midway/Coldstream,42.53450439,1890252
2018,Morrell Park/Violetville,31.26637555,2648093
2018,Mount Washington/Coldspring,28.33333333,2341791
2018,North Baltimore/Guilford/Homeland,26.58889783,1216960
2018,Northwood,39.15241058,648624
2018,Oldtown/Middle East,38.22714681,4465223
2018,Orangeville/East Highlandtown,36.04358759,1334932
2018,Patterson Park North & East,22.75615568,726136
2018,Penn North/Reservoir Hill,28.35820896,475221
2018,Pimlico/Arlington/Hilltop,35.89494163,491054
2018,Poppleton/The Terraces/Hollins Market,28.5012285,14821078
2018,Sandtown-Winchester/Harlem Park,46.03340292,226689
2018,South Baltimore,20.93294461,1363115
2018,Southeastern,55.14592934,4167104
2018,Southern Park Heights,58.83211679,934375
2018,Southwest Baltimore,29.77667494,626590
2018,The Waverlies,33.67139959,1010369
2018,Upton/Druid Heights,17.77003484,417257
2018,Washington Village/Pigtown,25.87412587,1657123
2018,Westport/Mount Winans/Lakeland,38.00298063,3146243
