FID,CSA2010,affordm10,affordm11,affordm12,affordm13,affordm14,affordm15,affordm16,affordm17,affordm18,SHAPE_Length,SHAPE_Area
23,Greater Rosemont,45.5376344086022,45.7372654155496,45.5376344086022,48.3957219251337,51.0341,48.9451476793249,47.5016655562958,47.4541751527494,47.8540772532188,32559.0762212062,42204384.5422658
24,Greenmount East,43.5197817189632,46.5616045845272,43.5197817189632,48.0337078651685,49.5161,48.9291598023064,50.9584664536741,53.4013605442176,53.4591194968553,20797.473457859,19072287.8238042
25,Hamilton,41.3342272879651,39.0619875368973,41.3342272879651,42.6086956521739,41.3255,41.7828200972447,40.3827119762455,35.6834053874293,30.6280875088214,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,36.4179104477612,26.4705882352941,36.4179104477612,34.4387755102041,33.4,39.8584905660377,50.9977827050998,37.5280898876404,44.2048517520215,18552.4075815481,10215859.0840198
27,Harford/Echodale,35.1170568561873,37.0381868984787,35.1170568561873,35.141065830721,37.0023,37.651292116454,36.7105263157895,33.8148391332895,31.7757009345794,40019.1854001864,65360039.1701278
28,Highlandtown,37.9130434782609,38.9226759339705,37.9130434782609,26.6386554621849,27.3983,25.1282051282051,20.8520179372197,18.5185185185185,20.4561653599429,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,55.0319953461315,60.0708800945068,55.0319953461315,52.4188609920392,50.8133,48.6535008976661,44.6629213483146,42.7267541357672,45.2674897119341,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,28.1668580176043,29.4346978557505,28.1668580176043,28.8393903868699,31.1187,28.4648606203376,25.1290194521636,23.8543371522094,20.5707491082045,43415.0595477941,24995836.2620936
31,Lauraville,46.15625,44.3553362122147,46.15625,40.4233870967742,34.4741,32.7066335579993,33.6448598130841,27.895533686601,28.35190165194,34419.6765281197,49665744.2382935
32,Loch Raven,31.5729483282675,38.993288590604,31.5729483282675,40.9256559766764,41.3382,44.5043103448276,36.4267129228101,34.7844112769485,36.888331242158,29314.3346718106,44147812.3259686
33,Madison/East End,43.2098765432099,35.6459330143541,43.2098765432099,31.5165876777251,42.2785,38.2871536523929,41.6267942583732,34.1463414634146,35.3488372093023,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,33.1384015594542,31.9695528068506,33.1384015594542,28.7924655230407,31.397,29.3369975953281,25.5364052057686,24.3606998654105,25.1297016861219,43152.6256992199,62441489.2397897
35,Midtown,28.8253968253968,26.1004339739616,28.8253968253968,28.9650037230082,31.7675,31.9709355131698,23.3156028368794,20.3753351206434,18.1747269890795,25020.0969697781,23823949.929494
36,Midway/Coldstream,31.207065750736,35.1672060409924,31.207065750736,35.6060606060606,36.1507,43.1746031746032,44.3322109988777,38.2874015748031,42.534504391468,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,40.2439024390244,35.5899419729207,40.2439024390244,38.7540983606557,41.0803,35.5891719745223,33.6783439490446,35.1993865030674,31.2663755458515,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,33.8075313807531,29.8977853492334,33.8075313807531,26.6666666666667,28.8603,29.8394711992446,30.3370786516854,30.6818181818181,28.3333333333333,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,28.5411515365595,29.9072091363312,28.5411515365595,32.1626617375231,29.6892,27.8694673668417,30.5201891596944,28.240058910162,26.5888978278358,42904.2221443837,74923987.6939622
40,Northwood,35.742444152431,37.5438596491228,35.742444152431,36.2954630671166,40.2466,41.2966601178782,41.4719626168224,40.7003891050583,39.1524105754276,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,51.9480519480519,49.1139240506329,51.9480519480519,45.2054794520548,34.6457,36.9294605809129,34.0836012861736,37.1165644171779,38.2271468144044,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,47.7803738317757,48.6266531027467,47.7803738317757,50.767754318618,40.1544,32.4245374878286,38.2657869934025,34.9164467897977,36.0435875943,47825.8629265765,89894372.2114828
43,Patterson Park North & East,36.4612511671335,35.1714550509731,36.4612511671335,33.0252100840336,27.7411,26.5911072362685,24.7058823529412,23.5386426049431,22.7561556791104,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,47.8260869565217,48.4745762711864,47.8260869565217,45.9251101321586,42.5885,36.8600682593857,35.5291576673866,28.9356984478935,28.3582089552238,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,42.9638854296389,42.1865348980852,42.9638854296389,50.2227880330999,46.9402,45.8176337603617,50.0400962309543,45.4466608846487,35.8949416342412,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,30.5019305019305,29.2626728110599,30.5019305019305,41.2790697674419,43.0605,31.6770186335404,30.5949008498584,26.1904761904761,28.5012285012285,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,37.6371308016878,38.3093525179856,37.6371308016878,35.6469580119966,38.8707,41.0089503661513,40.9667194928685,41.2742382271468,46.0334029227557,20987.1433066415,23672092.8680536
48,South Baltimore,37.5994215473608,35.8803986710963,37.5994215473608,28.3118405627198,30.2128,23.8648947951274,20.0988467874794,21.311475409836,20.9329446064139,68440.0258267645,46353935.42529
49,Southeastern,42.3366834170854,41.0757946210269,42.3366834170854,40.5660377358491,44.4145,53.6273115220484,50.9272467902996,50.2170767004341,55.1459293394777,102291.480547452,111251478.472831
50,Southern Park Heights,41.8236623963828,47.4051123160341,41.8236623963828,42.6200873362445,44.2248,46.2526766595289,49.1304347826087,41.6772554002541,58.8321167883211,24052.2213722085,27876227.5906738
51,Southwest Baltimore,41.9437340153453,41.5867480383609,41.9437340153453,31.6782522343595,30.6481,31.3518696069032,30.7692307692308,37.7224199288256,29.7766749379652,28355.5635813649,37766068.8367913
52,The Waverlies,37.8999179655455,39.7238017871649,37.8999179655455,36.5304420350292,33.8694,36.9070208728653,32.7433628318584,32.6864147088866,33.6713995943204,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,49.1228070175439,37.6693766937669,49.1228070175439,31.8658280922432,32.9832,25.7142857142857,25.8715596330275,21.9600725952813,17.7700348432055,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,41.946697566628,46.4454976303318,41.946697566628,37.5908618899273,38.5475,37.3348017621145,38.8636363636364,38.2746051032806,25.8741258741258,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,39.355581127733,41.0596026490066,39.355581127733,45.5808080808081,47.2991,44.3488943488943,45.25,45.4417952314165,38.0029806259314,42573.1244161893,45494092.9497963
